CRASH_DATE,LATITUDE,LONGITUDE
2022-12-30,41.8096,-87.6065
2022-12-30,41.8265,-87.6096
2022-12-30,41.8924,-87.6372
2022-12-30,41.9064,-87.7361
2022-12-30,41.7475,-87.6025
2022-12-30,41.7463,-87.6137
2022-12-30,41.8990,-87.7312
2022-12-30,41.8444,-87.7052
2022-12-30,41.7524,-87.6336
2022-12-30,41.7074,-87.6142
2022-12-30,41.8899,-87.6351
2022-12-30,41.8981,-87.6181
2022-12-30,41.9621,-87.6552
2022-12-30,41.6945,-87.6254
2022-12-30,41.9022,-87.7707
2022-12-30,41.9921,-87.7069
2022-12-30,41.7516,-87.5866
2022-12-30,41.7497,-87.7218
2022-12-30,41.8933,-87.6372
2022-12-30,41.8743,-87.7256
2022-12-30,41.8854,-87.7274
2022-12-30,41.8524,-87.6662
2022-12-30,41.7560,-87.6418
2022-12-30,41.7707,-87.6123
2022-12-30,41.7871,-87.7730
2022-12-30,41.9443,-87.7590
2022-12-30,41.8807,-87.7731
2022-12-30,41.7770,-87.7105
2022-12-30,41.8740,-87.6862
2022-12-29,41.9005,-87.7461
2022-12-29,41.8234,-87.6691
2022-12-29,41.8671,-87.6970
2022-12-29,41.8594,-87.6563
2022-12-29,41.9288,-87.7068
2022-12-29,42.0119,-87.6904
2022-12-29,41.7761,-87.7179
2022-12-29,41.6780,-87.6207
2022-12-29,41.7357,-87.7022
2022-12-29,41.8096,-87.6104
2022-12-29,41.9744,-87.8170
2022-12-29,41.7045,-87.5391
2022-12-29,41.8855,-87.6590
2022-12-29,41.9240,-87.7541
2022-12-29,41.9759,-87.6990
2022-12-29,41.7868,-87.6439
2022-12-29,41.9972,-87.7648
2022-12-29,41.7747,-87.6120
2022-12-29,41.9759,-87.6990
2022-12-29,41.8530,-87.6239
2022-12-29,41.7871,-87.6450
2022-12-29,41.9544,-87.6702
2022-12-29,41.8793,-87.7552
2022-12-29,41.7033,-87.5246
2022-12-29,41.7805,-87.7254
2022-12-29,41.9904,-87.7076
2022-12-29,41.7388,-87.5759
2022-12-29,41.7500,-87.6828
2022-12-29,41.6537,-87.6077
2022-12-29,41.7213,-87.6431
2022-12-29,41.7734,-87.6334
2022-12-29,41.7517,-87.5591
2022-12-29,41.9617,-87.6710
2022-12-29,41.8542,-87.6240
2022-12-29,41.7832,-87.6499
2022-12-29,41.8551,-87.6237
2022-12-29,41.9668,-87.7673
2022-12-29,41.8758,-87.6242
2022-12-29,41.9139,-87.7461
2022-12-29,41.8951,-87.7457
2022-12-29,41.9858,-87.6894
2022-12-29,41.8528,-87.6240
2022-12-29,41.8744,-87.6241
2022-12-29,41.9095,-87.7470
2022-12-29,41.7749,-87.6060
2022-12-29,41.8245,-87.6850
2022-12-29,41.9889,-87.6552
2022-12-29,41.8090,-87.6335
2022-12-29,41.6928,-87.6135
2022-12-29,41.7457,-87.5626
2022-12-29,41.7102,-87.5599
2022-12-29,41.7481,-87.7022
2022-12-29,41.8480,-87.6857
2022-12-29,41.9040,-87.6301
2022-12-29,41.8665,-87.6257
2022-12-29,42.0050,-87.6960
2022-12-29,41.7213,-87.6625
2022-12-29,41.9091,-87.7754
2022-12-29,41.7610,-87.6748
2022-12-29,41.8787,-87.6471
2022-12-29,41.8010,-87.5873
2022-12-29,41.9099,-87.7338
2022-12-29,41.7101,-87.5326
2022-12-29,41.7104,-87.6467
2022-12-29,41.7512,-87.6065
2022-12-29,41.7595,-87.6541
2022-12-29,42.0049,-87.6610
2022-12-29,41.7807,-87.7033
2022-12-29,41.7363,-87.6211
2022-12-29,41.9544,-87.6624
2022-12-29,41.9157,-87.7022
2022-12-29,41.9690,-87.6661
2022-12-29,41.8966,-87.6267
2022-12-29,41.8014,-87.6640
2022-12-29,41.8397,-87.7340
2022-12-29,41.8735,-87.7205
2022-12-29,41.8444,-87.7250
2022-12-29,41.8973,-87.6243
2022-12-29,41.8955,-87.7199
2022-12-29,41.8740,-87.6261
2022-12-29,41.7211,-87.6649
2022-12-29,41.9840,-87.7685
2022-12-29,42.0190,-87.8074
2022-12-29,41.8870,-87.6326
2022-12-29,41.9075,-87.7659
2022-12-29,41.7413,-87.6528
2022-12-29,41.7453,-87.6147
